,view_count,view_count,like_count,like_count,comment_count,comment_count
,mean,median,mean,median,mean,median
search_term,,,,,,
cooking,49780877.0,9326370.0,1201050.0,68448.0,6546.0,2062.0
fitness,19325411.0,6238056.0,487412.0,84448.0,3692.0,1021.0
travel,6990627.0,1110231.0,114414.0,14316.0,2138.0,419.0
python programming,3562623.0,1214086.0,91031.0,26418.0,2583.0,430.0
finance,3506989.0,1304097.0,97885.0,22453.0,2242.0,852.0
minecraft,2890540.0,202144.0,49580.0,4226.0,545.0,56.0
fortnite,1468221.0,406774.0,27305.0,6236.0,702.0,245.0
data analytics,726993.0,402077.0,19193.0,11402.0,471.0,244.0
