collection_date,search_term,video_id,title,description,channel_title,published_at,view_count,like_count,comment_count,favorite_count,duration,definition,caption
2026-07-07 15:53:10,cooking,OmfsWFkwfiw,Cooking A Massive Lamb Pilaf For a Mountain Village Feast!,Order our Faraway Knives and Socks - https://farawayvillage.shop/ Adapted for your kitchen! Free recipe here: ...,Faraway Village ,2026-06-16 12:12:33+00:00,3677722,29184,1641,0,PT28M54S,hd,True
2026-07-07 15:53:10,cooking,Lr03s69-9b4,Recette sauce Gombo au couscous flocons d’avoine # #food #recette #cooking #saucegombo #recipe,,La cuisine de marina,2026-07-07 16:25:17+00:00,2655,197,6,0,PT2M59S,hd,False
2026-07-07 15:53:10,cooking,p2TQSmR0Mkw,Cooking MASSIVE Seafood,,Nick Kratka,2024-12-03 19:16:10+00:00,22482126,591059,2111,0,PT1M,hd,True
2026-07-07 15:53:10,cooking,A7XNesFBEaA,7 Dishes Everyone Should Know How To Make,Made In is offering up to 30% off during their Summer Sale. Use my link and get some of the best deals of the year ...,Andy Cooks,2026-05-14 07:00:37+00:00,597811,16193,566,0,PT32M22S,hd,False
2026-07-07 15:53:10,cooking,Ncp0rL5wUT0,Lobster Revenge,ChefRush #lobster #summer #grill.,Nick DiGiovanni,2025-08-13 16:00:45+00:00,166414227,2015346,12740,0,PT26S,hd,True
2026-07-07 15:53:10,cooking,2R2HF-XpVKE,100 Cooks | Episode 1 (Full Episode),"This is the first episode of my brand new TV show called 100 Cooks. If you liked this, go watch the rest on Food Network or HBO ...",Chef Nick,2026-06-10 16:00:01+00:00,2817772,68448,3731,0,PT1H24M,hd,True
2026-07-07 15:53:10,cooking,uxZbdsY_olo,Cooking A Massive River Monster For A Mountain Feast!,"https://homewild.shop/ - Special Knives, Delicious Food, Cookware and Stylish Clothes! Cooking a giant fresh beluga in a ...",WILDERNESS COOKING,2026-06-04 12:08:57+00:00,925822,12726,1319,0,PT22M56S,hd,True
2026-07-07 15:53:10,cooking,DCzLaxDoLKk,Cooking World’s Largest Crab!,,Nick Kratka,2025-06-23 14:39:05+00:00,82796287,1397968,3248,0,PT1M4S,hd,True
2026-07-07 15:53:10,cooking,mdxLYB1v2j0,Outdoor Cooking The Juiciest Steaks with Pineapples!,"https://homewild.shop/ - Special Knives, Delicious Food, Cookware and Stylish Clothes! Cooking perfect juicy steaks in the ...",WILDERNESS COOKING,2026-06-11 13:08:27+00:00,823660,10318,807,0,PT24M27S,hd,True
2026-07-07 15:53:10,cooking,iPNJjf_0QIM,40 Minutes of Cooking in my Room | Lazy Pot Noodle,Order a Lazy Pot on Amazon!   ➡ https://www.amazon.com/dp/B0FVWTX9HV Download my Digital Cookbook!,Lazy Pot Noodle,2026-06-23 00:40:27+00:00,61283,1246,77,0,PT40M1S,hd,False
2026-07-07 15:53:10,cooking,GzTFKw72GBc,Cooking Deep In The Forest | Epic Wilderness Food Compilation (ASMR),"Welcome to Cook Loop! Sit back, relax, and enjoy the soothing sounds of crackling fire and sizzling meat deep in the quiet ...",Cook Loop,2026-07-03 16:02:37+00:00,82840,1042,30,0,PT1H38M45S,hd,False
