video_id,title,description,channel_title,published_at,view_count,like_count,comment_count,favorite_count,duration,definition,caption
yZvFH7B6gKI,What Is Data Analytics? - An Introduction (Full Guide),Curious about a career in Data Analytics? Book a call with a program advisor: https://bit.ly/47LEBk3 What exactly is data analytics ...,CareerFoundry,2021-03-25T13:13:45Z,2164917,50909,922,0,PT9M4S,hd,true
aUTfF62Pdlw,"Data Analyst Full Guide 2026 (FREE) | Skills, SQL, Power BI, Portfolio & AI #dataanalyst #analytics",Thinking of becoming a Data Analyst in 2026? Before spending ₹1.5 Lakhs on expensive courses or blindly following random ...,Sarven N,2026-06-16T12:30:31Z,19474,825,151,0,PT10M4S,hd,false
dJA7k58zlA8,How I'd become a data analyst (if i had to start over) in 2026,Data Analyst Roadmap 2026. A data analyst career path can be broken down into 3 simple steps with timelines so that it's easy to ...,Agatha,2024-01-12T14:00:27Z,1182925,54449,1442,0,PT8M57S,hd,true
YRJbhFLLPyE,The Complete Data Analyst Roadmap,Go from zero to a data analyst in 8-16 months. This step-by-step roadmap covers the essential skills you must learn to become a ...,Programming with Mosh,2024-08-06T13:00:37Z,760313,19359,371,0,PT4M8S,hd,false
kghcAk7l6eA,Introduction to Data Analysis with Excel: 2-Hour Training Tutorial,Download the free course exercise files to follow along ...,Simon Sez IT,2023-03-07T16:00:09Z,839324,14098,328,0,PT1H53M40S,hd,false
